island_id,iteration_num,function,score
0,0,"'\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction result = new PlayerAction();\n    \n    // Iterate through all units of the player\n    for (Unit u : game.getUnits()) {\n        if (u.getPlayer() != player) {\n            continue;\n        }\n        \n        // Check if unit is a worker and not already harvesting\n        if (!u.getType().isWorker() || \n            (currentPlayerAction != null && currentPlayerAction.getUnitAction(u) != null &&\n             currentPlayerAction.getUnitAction(u).getType() == UnitAction.TYPE_HARVEST)) {\n            continue;\n        }\n        \n        // Find nearest unharvested resource\n        Unit target = null;\n        double minDist = Double.MAX_VALUE;\n        for (Unit r : game.getUnits()) {\n            if (r.getType().isResource() && r.getResources() > 0) {\n                int dx = Math.abs(u.getX() - r.getX());\n                int dy = Math.abs(u.getY() - r.getY());\n                double dist = Math.sqrt(dx*dx + dy*dy);\n                if (dist < minDist) {\n                    minDist = dist;\n                    target = r;\n                }\n            }\n        }\n        \n        // If target resource found, create harvest action\n        if (target != null) {\n            Harvest harvestAction = new Harvest();\n            harvestAction.target = target;\n            harvestAction.base = u;\n            harvestAction.pf = pf;\n            \n            // Check if action is valid\n            if (u.canExecuteAction(harvestAction, game)) {\n                result.addUnitAction(u, harvestAction.execute(game, new ResourceUsage()));\n            }\n        }\n    }\n    \n    return result;\n}\n'",-1.0
3,1,"'\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction pa = new PlayerAction();\n    \n    // Get all units for the current player\n    List<Unit> units = game.getUnits();\n    for (Unit u : units) {\n        if (u.getPlayer() == player) {\n            // Check if the unit is a harvester\n            if (a_utt.getUnitType(u.getType().getName()).isHarvester()) {\n                // Check if the unit is idle\n                UnitAction currentAction = game.getUnitAction(u);\n                if (currentAction.getType() == UnitAction.TYPE_NONE) {\n                    // Find a resource to harvest\n                    for (Unit resource : game.getUnits()) {\n                        if (resource.getType().isResource() && resource.getPlayer() == -1) {\n                            // Check if the resource is adjacent\n                            if (Math.abs(u.getX() - resource.getX()) <= 1 && Math.abs(u.getY() - resource.getY()) <= 1) {\n                                // Calculate direction\n                                int dx = resource.getX() - u.getX();\n                                int dy = resource.getY() - u.getY();\n                                int direction = getDirection(dx, dy);\n                                \n                                // Create harvest action\n                                UnitAction harvestAction = new UnitAction(UnitAction.TYPE_HARVEST, direction);\n                                pa.addUnitAction(u, harvestAction);\n                            }\n                        }\n                    }\n                }\n            }\n        }\n    }\n    \n    return pa;\n}\n\nprivate int getDirection(int dx, int dy) {\n    if (dx == -1 && dy == 0) return UnitAction.DIRECTION_RIGHT;\n    if (dx == 1 && dy == 0) return UnitAction.DIRECTION_LEFT;\n    if (dx == 0 && dy == -1) return UnitAction.DIRECTION_DOWN;\n    if (dx == 0 && dy == 1) return UnitAction.DIRECTION_UP;\n    return UnitAction.DIRECTION_NONE;\n}\n'",-1.0
2,2,"'\nimport ai.abstraction.Harvest;\nimport ai.abstraction.pathfinding.PathFinding;\nimport rts.GameState;\nimport rts.PlayerAction;\nimport rts.ResourceUsage;\nimport rts.units.Unit;\nimport rts.units.UnitTypeTable;\n\nimport java.util.HashMap;\n\npublic class HarvestResources {\n    public PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n        PlayerAction result = new PlayerAction();\n        for (Unit u : game.getUnits()) {\n            if (u.getPlayer() == player && u.getType().getHarvestAmount() > 0) {\n                if (currentPlayerAction.getUnitAction(u) == null) {\n                    Harvest harvestAction = new Harvest();\n                    harvestAction.unit = u;\n                    UnitAction unitAction = harvestAction.execute(game, new ResourceUsage());\n                    if (unitAction != null) {\n                        result.addUnitAction(u, unitAction);\n                    }\n                }\n            }\n        }\n        return result;\n    }\n}\n'",-1.0
1,0,"'\nimport ai.abstraction.AbstractAction;\nimport ai.abstraction.Harvest;\nimport ai.abstraction.pathfinding.PathFinding;\nimport rts.GameState;\nimport rts.PlayerAction;\nimport rts.ResourceUsage;\nimport rts.units.Unit;\nimport rts.units.UnitTypeTable;\nimport java.util.HashMap;\nimport java.util.HashSet;\nimport java.util.List;\n\npublic class Harvest_Resources {\n    public PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n        PlayerAction pa = new PlayerAction();\n        HashSet<Long> usedResources = new HashSet<>();\n\n        // Iterate over all units of the current player\n        for (Unit u : game.getUnits()) {\n            if (u.getPlayer() != player) {\n                continue;\n            }\n\n            // Check if the unit is a harvester (e.g., worker unit)\n            if (!isHarvester(u.getType())) {\n                continue;\n            }\n\n            // Skip if the unit already has an action assigned\n            if (currentPlayerAction.getAction(u) != null) {\n                continue;\n            }\n\n            // Find the nearest resource\n            Unit nearestResource = findNearestResource(u, game, usedResources);\n\n            if (nearestResource != null) {\n                // Mark the resource as used\n                usedResources.add(nearestResource.getID());\n                // Assign the Harvest action\n                Harvest harvestAction = new Harvest();\n                harvestAction.target = nearestResource;\n                pa.addUnitAction(u, new UnitAction(UnitAction.TYPE_HARVEST));\n            }\n        }\n\n        return pa;\n    }\n\n    private boolean isHarvester(UnitType type) {\n        // Implement logic to check if the unit type is a harvester\n        return type.getName().equals(""worker""); // Example implementation\n    }\n\n    private Unit findNearestResource(Unit harvester, GameState game, HashSet<Long> usedResources) {\n        Unit nearest = null;\n        int minDistance = Integer.MAX_VALUE;\n\n        for (Unit u : game.getUnits()) {\n            if (u.getType().isResource()) {\n                if (usedResources.contains(u.getID())) {\n                    continue;\n                }\n\n                int distance = Math.abs(harvester.getX() - u.getX()) + Math.abs(harvester.getY() - u.getY());\n                if (distance < minDistance) {\n                    minDistance = distance;\n                    nearest = u;\n                }\n            }\n        }\n\n        return nearest;\n    }\n}\n'",-1.0
3,1,"'\nimport ai.abstraction.Harvest;\nimport ai.abstraction.pathfinding.PathFinding;\nimport rts.GameState;\nimport rts.PlayerAction;\nimport rts.ResourceUsage;\nimport rts.units.Unit;\nimport rts.units.UnitTypeTable;\nimport java.util.HashMap;\nimport java.util.List;\n\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction pa = new PlayerAction();\n\n    for (Unit u : game.getUnits()) {\n        if (u.getPlayer() == player && u.getType().isWorker() && u.getResources() == 0) {\n            Unit nearestResource = findNearestResource(u, game);\n            if (nearestResource != null) {\n                Harvest harvest = new Harvest();\n                harvest.target = nearestResource;\n                harvest.base = u;\n                UnitAction ua = harvest.execute(game, new ResourceUsage());\n                pa.addUnitAction(u, ua);\n            }\n        }\n    }\n\n    return pa;\n}\n\nprivate Unit findNearestResource(Unit worker, GameState game) {\n    Unit nearest = null;\n    int minDistance = Integer.MAX_VALUE;\n\n    for (Unit u : game.getUnits()) {\n        if (u.getType().isResource()) {\n            int distance = Math.abs(u.x - worker.x) + Math.abs(u.y - worker.y);\n            if (distance < minDistance) {\n                minDistance = distance;\n                nearest = u;\n            }\n        }\n    }\n\n    return nearest;\n}\n'",-1.0
2,2,"""\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    // Create a new PlayerAction if it's null\n    if (currentPlayerAction == null) {\n        currentPlayerAction = new PlayerAction();\n    }\n    \n    // Iterate through all units in the game state\n    for (Unit u : game.getUnits()) {\n        // Check if the unit belongs to the current player\n        if (u.getPlayer() == player) {\n            // Check if the unit is a worker or harvester\n            if (u.getType().isHarvester()) {\n                // Find a target resource (e.g., minerals, gas)\n                Unit targetResource = findTargetResource(game, u);\n                if (targetResource != null) {\n                    // Find a base to return to\n                    Unit base = findBase(game, u);\n                    if (base != null) {\n                        // Create a new Harvest action\n                        Harvest harvestAction = new Harvest();\n                        harvestAction.target = targetResource;\n                        harvestAction.base = base;\n                        harvestAction.pf = pf;\n                        \n                        // Add the harvest action to the current player action\n                        currentPlayerAction.addUnitAction(u, harvestAction.execute(game));\n                    }\n                }\n            }\n        }\n    }\n    \n    return currentPlayerAction;\n}\n\n// Helper method to find a target resource\nprivate Unit findTargetResource(GameState game, Unit harvester) {\n    // Implement logic to find nearest resource to the harvester\n    // This is a simplified example\n    for (Unit u : game.getUnits()) {\n        if (u.getType().isResource()) {\n            return u;\n        }\n    }\n    return null;\n}\n\n// Helper method to find a base\nprivate Unit findBase(GameState game, Unit harvester) {\n    // Implement logic to find the nearest base to the harvester\n    // This is a simplified example\n    for (Unit u : game.getUnits()) {\n        if (u.getType().isBase()) {\n            return u;\n        }\n    }\n    return null;\n}\n""",-1.0
3,3,"'\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction pa = (currentPlayerAction == null) ? new PlayerAction() : currentPlayerAction.clone();\n    \n    List<Unit> units = game.getUnits();\n    for (Unit u : units) {\n        if (u.getPlayer() == player && u.getType().isWorker()) {\n            if (u.getResources() == 0 || (u.getAction() == null || u.getAction().getType() != UnitAction.TYPE_HARVEST)) {\n                // Find a nearby resource\n                int[] directions = {0, 1, 2, 3};\n                for (int dir : directions) {\n                    int dx = UnitAction.DIRECTION_OFFSET_X[dir];\n                    int dy = UnitAction.DIRECTION_OFFSET_Y[dir];\n                    int nx = u.getX() + dx;\n                    int ny = u.getY() + dy;\n                    if (game.getPhysicalGameState().isResource(nx, ny)) {\n                        Harvest harvestAction = new Harvest();\n                        harvestAction.base = u;\n                        harvestAction.target = game.getPhysicalGameState().getUnitAt(nx, ny);\n                        harvestAction.pf = pf;\n                        \n                        UnitAction ua = harvestAction.execute(game, new ResourceUsage());\n                        if (ua != null) {\n                            pa.addUnitAction(u, ua);\n                        }\n                        break;\n                    }\n                }\n            }\n        }\n    }\n    \n    return pa;\n}\n'",-1.0
0,4,"'\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction pa = new PlayerAction();\n    \n    for (Unit u : game.getUnits()) {\n        if (u.getPlayer() == player) {\n            // Check if the unit is a worker (can harvest)\n            if (u.getType().canHarvest()) {\n                Harvest harvestAction = new Harvest();\n                harvestAction.setUnit(u);\n                pa.addUnitAction(u, harvestAction);\n            }\n        }\n    }\n    \n    return pa;\n}\n'",-1.0
2,0,"'\nimport java.util.ArrayList;\nimport java.util.List;\nimport java.util.stream.Collectors;\nimport java.util.stream.Stream;\n\npublic class Harvest_Resources {\n    public PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n        PlayerAction newAction = new PlayerAction();\n        List<Unit> playerUnits = game.getUnits().stream()\n                .filter(u -> u.getPlayer() == player)\n                .collect(Collectors.toList());\n\n        for (Unit unit : playerUnits) {\n            if (unit.getHarvestAmount() > 0) {\n                if (unit.getResources() > 0) {\n                    List<Unit> bases = game.getUnits().stream()\n                            .filter(u -> u.getPlayer() == player && u.getType().isBase())\n                            .collect(Collectors.toList());\n                    if (!bases.isEmpty()) {\n                        Unit targetBase = findNearest(unit, bases);\n                        if (targetBase != null) {\n                            int targetPos = targetBase.getPosition(game.getPhysicalGameState());\n                            if (pf.pathExists(unit, targetPos, game, null)) {\n                                UnitAction ua = pf.findPathToAdjacentPosition(unit, targetPos, game, null);\n                                if (ua.getType() != UnitAction.TYPE_NONE) {\n                                    ua.setType(UnitAction.TYPE_RETURN);\n                                    newAction.addUnitAction(unit, ua);\n                                }\n                            }\n                        }\n                    }\n                } else {\n                    List<Unit> resources = game.getUnits().stream()\n                            .filter(u -> u.getType().getHarvestAmount() > 0 && u.getPlayer() == -1)\n                            .collect(Collectors.toList());\n                    if (!resources.isEmpty()) {\n                        Unit targetResource = findNearest(unit, resources);\n                        if (targetResource != null) {\n                            int targetPos = targetResource.getPosition(game.getPhysicalGameState());\n                            if (pf.pathExists(unit, targetPos, game, null)) {\n                                UnitAction ua = pf.findPathToAdjacentPosition(unit, targetPos, game, null);\n                                if (ua.getType() != UnitAction.TYPE_NONE) {\n                                    ua.setType(UnitAction.TYPE_HARVEST);\n                                    newAction.addUnitAction(unit, ua);\n                                }\n                            }\n                        }\n                    }\n                }\n            }\n        }\n        return newAction;\n    }\n\n    private Unit findNearest(Unit unit, List<Unit> targets) {\n        if (targets.isEmpty()) {\n            return null;\n        }\n        Unit nearest = targets.get(0);\n        int minDist = Integer.MAX_VALUE;\n        for (Unit target : targets) {\n            int dist = Math.abs(target.getX() - unit.getX()) + Math.abs(target.getY() - unit.getY());\n            if (dist < minDist) {\n                minDist = dist;\n                nearest = target;\n            }\n        }\n        return nearest;\n    }\n}\n'",-1.0
2,0,"'\npublic PlayerAction Harvest_Resources(GameState game, int player, PlayerAction currentPlayerAction, PathFinding pf, UnitTypeTable a_utt, HashMap<Long, String> counterByFunction) {\n    PlayerAction pa = new PlayerAction();\n    List<Unit> units = game.getUnits();\n    for (Unit u : units) {\n        if (u.getPlayer() != player) {\n            continue;\n        }\n        if (u.getType().canHarvest()) {\n            if (currentPlayerAction.getActions().stream().noneMatch(p -> p.getKey().getID() == u.getID())) {\n                Harvest harvestAction = new Harvest();\n                harvestAction.base = findBase(game, u, a_utt);\n                harvestAction.target = findResource(game, u, a_utt);\n                if (harvestAction.target != null && harvestAction.base != null) {\n                    UnitAction ua = pf.findPathToAdjacentPosition(u, harvestAction.target.getPosition(), game, new ResourceUsage());\n                    if (ua != null) {\n                        ua.setType(UnitAction.TYPE_HARVEST);\n                        ua.setDirection(calculateDirection(u, harvestAction.target));\n                        pa.addUnitAction(u, ua);\n                    }\n                }\n            }\n        }\n    }\n    return pa;\n}\n\nprivate Unit findBase(GameState game, Unit u, UnitTypeTable a_utt) {\n    // Implementation to find the base unit\n}\n\nprivate Unit findResource(GameState game, Unit u, UnitTypeTable a_utt) {\n    // Implementation to find the nearest resource\n}\n\nprivate int calculateDirection(Unit u, Unit target) {\n    int dx = target.getX() - u.getX();\n    int dy = target.getY() - u.getY();\n    if (Math.abs(dx) > Math.abs(dy)) {\n        return dx > 0 ? UnitAction.DIRECTION_RIGHT : UnitAction.DIRECTION_LEFT;\n    } else {\n        return dy > 0 ? UnitAction.DIRECTION_DOWN : UnitAction.DIRECTION_UP;\n    }\n}\n'",-1.0
